match_id,edition_id,category_id,round,winner1_id,winner2_id,loser1_id,loser2_id,score,referee_id,walkover,notes
m1,1,1,QF,p1,,p5,,6-1,,,
m2,1,1,QF,p2,,p6,,6-1,,,
m3,1,1,QF,p3,,p7,,6-4,,,
m4,1,1,QF,p4,,p8,,6-5(4),,,
m5,1,1,SF,p1,,p3,,6-1,,,
m6,1,1,SF,p2,,p4,,6-0,,,
m7,1,1,F,p2,,p1,,6-4,,,
m8,1,2,R16,p9,,p10,,6-3,,,
m9,1,2,R16,p11,,p12,,6-5(0),,,
m10,1,2,QF,p13,,p14,,6-2,,,
m11,1,2,QF,p17,,p18,,6-2,,,
m12,1,2,QF,p15,,p16,,6-5(4),,,
m13,1,2,QF,p11,,p9,,6-2,,,
m14,1,2,SF,p11,,p13,,6-3,,,
m15,1,2,SF,p17,,p15,,6-2,,,
m16,1,2,F,p11,,p17,,6-3,,,
m18,1,3,QF,p19,,p20,,6-2,,,
m19,1,3,QF,p21,,p22,,6-0,,,
m20,1,3,QF,p23,,p24,,6-1,,,
m21,1,3,QF,p27,,p26,,6-0,,,
m22,1,3,SF,p21,,p19,,6-1,,,
m23,1,3,SF,p27,,p23,,6-1,,score unconfirmed
m24,1,3,F,p27,,p21,,6-4,,,
